"date","Last","Vol","Strike","type"
2012-04-17,24.05,1111,505,"Call"
2012-04-17,21.7,3813,510,"Call"
2012-04-17,20.05,668,515,"Call"
2012-04-17,18,3672,520,"Call"
2012-04-17,16.05,550,525,"Call"
2012-04-17,14.45,528,530,"Call"
2012-04-17,12.85,1452,535,"Call"
2012-04-17,11.55,227,540,"Call"
2012-04-17,10.23,248,545,"Call"
2012-04-17,9.1,2225,550,"Call"
2012-04-17,8,229,555,"Call"
2012-04-17,6.95,303,560,"Call"
2012-04-17,6.1,517,565,"Call"
2012-04-17,5.5,142,570,"Call"
2012-04-17,4.85,341,575,"Call"
2012-04-17,4.4,677,580,"Call"
2012-04-17,3.95,286,585,"Call"
2012-04-17,3.45,117,590,"Call"
2012-04-17,3.1,372,595,"Call"
2012-04-17,2.91,1083,600,"Call"
2012-04-17,2.45,88,605,"Call"
2012-04-17,2.17,235,610,"Call"
2012-04-17,1.78,54,615,"Call"
2012-04-17,1.92,118,620,"Call"
2012-04-17,1.5,54,625,"Call"
2012-04-17,1.35,45,630,"Call"
2012-04-17,1.13,5,635,"Call"
2012-04-17,1.18,78,640,"Call"
2012-04-17,1.25,12,645,"Call"
2012-04-17,0.9,155,650,"Call"
2012-04-17,0.8,57,655,"Call"
2012-04-17,0.95,42,660,"Call"
2012-04-17,0.65,18,665,"Call"
2012-04-17,0.7,220,670,"Call"
2012-04-17,0.58,52,675,"Call"
2012-04-17,0.56,37,680,"Call"
2012-04-17,0.52,10,685,"Call"
2012-04-17,0.46,17,690,"Call"
2012-04-17,0.48,0,695,"Call"
2012-04-17,0.42,92,700,"Call"
2012-04-17,0.45,2,705,"Call"
2012-04-17,0.23,0,710,"Call"
2012-04-17,0.25,0,715,"Call"
2012-04-17,0.23,0,720,"Call"
2012-04-17,0.38,0,725,"Call"
2012-04-17,0.31,1,730,"Call"
2012-04-17,0.35,5,735,"Call"
2012-04-17,0.4,0,740,"Call"
2012-04-17,0.24,0,745,"Call"
2012-04-17,0.25,0,750,"Call"
2012-04-17,0.08,0,165,"Put"
2012-04-17,0.06,0,170,"Put"
2012-04-17,0.05,0,175,"Put"
2012-04-17,0.05,0,180,"Put"
2012-04-17,0.06,0,185,"Put"
2012-04-17,0.07,0,190,"Put"
2012-04-17,0.03,0,195,"Put"
2012-04-17,0.01,0,200,"Put"
2012-04-17,0.15,0,205,"Put"
2012-04-17,0.05,0,210,"Put"
2012-04-17,0.04,0,215,"Put"
2012-04-17,0.03,0,220,"Put"
2012-04-17,0.05,0,225,"Put"
2012-04-17,0.04,0,230,"Put"
2012-04-17,0.03,0,235,"Put"
2012-04-17,0.02,0,240,"Put"
2012-04-17,0.07,0,245,"Put"
2012-04-17,0.09,51,250,"Put"
2012-04-17,0.07,0,255,"Put"
2012-04-17,0.05,0,260,"Put"
2012-04-17,0.05,0,265,"Put"
2012-04-17,0.28,0,270,"Put"
2012-04-17,0.05,0,275,"Put"
2012-04-17,0.1,0,280,"Put"
2012-04-17,0.15,0,285,"Put"
2012-04-17,0.05,0,290,"Put"
2012-04-17,0.31,0,295,"Put"
2012-04-17,0.17,1,300,"Put"
2012-04-17,0.13,0,305,"Put"
2012-04-17,0.21,0,310,"Put"
2012-04-17,0.2,0,315,"Put"
2012-04-17,0.29,30,320,"Put"
2012-04-17,0.37,0,325,"Put"
2012-04-17,0.35,7,330,"Put"
2012-04-17,0.4,0,335,"Put"
2012-04-17,0.42,0,340,"Put"
2012-04-17,0.51,5,345,"Put"
2012-04-17,0.55,2,350,"Put"
2012-04-17,0.68,18,355,"Put"
2012-04-17,0.64,286,360,"Put"
2012-04-17,0.74,12,365,"Put"
2012-04-17,0.79,313,370,"Put"
2012-04-17,0.82,161,375,"Put"
2012-04-17,1.03,434,380,"Put"
2012-04-17,1.16,198,385,"Put"
2012-04-17,1.37,181,390,"Put"
2012-04-17,1.51,307,395,"Put"
2012-04-17,1.81,501,400,"Put"
2012-04-17,2.01,116,405,"Put"
2012-04-17,2.47,111,410,"Put"
2012-04-17,2.84,57,415,"Put"
2012-04-17,3.22,272,420,"Put"
2012-04-17,3.7,134,425,"Put"
2012-04-17,4.31,186,430,"Put"
2012-04-17,4.85,181,435,"Put"
2012-04-17,5.75,195,440,"Put"
2012-04-17,6.55,274,445,"Put"
2012-04-17,7.5,641,450,"Put"
2012-04-17,8.65,291,455,"Put"
2012-04-17,9.75,682,460,"Put"
2012-04-17,11.25,374,465,"Put"
2012-04-17,12.3,377,470,"Put"
2012-04-17,14.1,315,475,"Put"
2012-04-17,15.8,375,480,"Put"
2012-04-17,17.8,134,485,"Put"
2012-04-17,20.2,415,490,"Put"
2012-04-17,22.03,854,495,"Put"
2012-04-17,24.43,1764,500,"Put"
