"date","Last","Vol","Strike","type"
2012-05-17,30.05,360,505,"Call"
2012-05-17,27.8,613,510,"Call"
2012-05-17,25.6,139,515,"Call"
2012-05-17,23.25,501,520,"Call"
2012-05-17,21.3,231,525,"Call"
2012-05-17,19.9,187,530,"Call"
2012-05-17,17.9,30,535,"Call"
2012-05-17,16.55,78,540,"Call"
2012-05-17,15.1,95,545,"Call"
2012-05-17,12.95,480,550,"Call"
2012-05-17,12.75,37,555,"Call"
2012-05-17,11.42,192,560,"Call"
2012-05-17,10.45,124,565,"Call"
2012-05-17,9.3,59,570,"Call"
2012-05-17,8.4,164,575,"Call"
2012-05-17,7.5,40,580,"Call"
2012-05-17,6.9,48,585,"Call"
2012-05-17,6.5,101,590,"Call"
2012-05-17,5.6,170,595,"Call"
2012-05-17,4.95,222,600,"Call"
2012-05-17,4.6,242,605,"Call"
2012-05-17,4.45,66,610,"Call"
2012-05-17,3.85,330,615,"Call"
2012-05-17,3.75,54,620,"Call"
2012-05-17,3.05,17,625,"Call"
2012-05-17,2.79,153,630,"Call"
2012-05-17,3.05,23,635,"Call"
2012-05-17,2.4,229,640,"Call"
2012-05-17,2.65,4,645,"Call"
2012-05-17,1.95,39,650,"Call"
2012-05-17,1.81,26,655,"Call"
2012-05-17,1.5,9,660,"Call"
2012-05-17,1.99,2,665,"Call"
2012-05-17,1.21,2,670,"Call"
2012-05-17,1.23,169,675,"Call"
2012-05-17,1.43,112,680,"Call"
2012-05-17,1.14,199,685,"Call"
2012-05-17,1.04,320,690,"Call"
2012-05-17,0.95,441,695,"Call"
2012-05-17,0.85,1926,700,"Call"
2012-05-17,0.8,296,705,"Call"
2012-05-17,0.9,469,710,"Call"
2012-05-17,0.78,735,715,"Call"
2012-05-17,0.74,358,720,"Call"
2012-05-17,0.61,142,725,"Call"
2012-05-17,0.66,267,730,"Call"
2012-05-17,0.65,0,735,"Call"
2012-05-17,0.55,0,740,"Call"
2012-05-17,0.6,4,745,"Call"
2012-05-17,0.5,40,750,"Call"
2012-05-17,0.69,8,755,"Call"
2012-05-17,NA,0,760,"Call"
2012-05-17,NA,0,765,"Call"
2012-05-17,0.43,108,770,"Call"
2012-05-17,NA,0,775,"Call"
2012-05-17,NA,0,780,"Call"
2012-05-17,0.08,0,215,"Put"
2012-05-17,0.19,0,220,"Put"
2012-05-17,0.09,0,225,"Put"
2012-05-17,0.09,54,230,"Put"
2012-05-17,NA,0,235,"Put"
2012-05-17,NA,0,240,"Put"
2012-05-17,0.26,0,245,"Put"
2012-05-17,NA,0,250,"Put"
2012-05-17,0.31,0,255,"Put"
2012-05-17,0.35,0,260,"Put"
2012-05-17,0.29,0,265,"Put"
2012-05-17,0.4,0,270,"Put"
2012-05-17,0.45,0,275,"Put"
2012-05-17,0.3,1,280,"Put"
2012-05-17,0.55,0,285,"Put"
2012-05-17,0.33,0,290,"Put"
2012-05-17,0.12,0,295,"Put"
2012-05-17,0.54,0,300,"Put"
2012-05-17,0.3,0,305,"Put"
2012-05-17,0.25,0,310,"Put"
2012-05-17,0.36,0,315,"Put"
2012-05-17,0.63,0,320,"Put"
2012-05-17,0.65,0,325,"Put"
2012-05-17,0.78,0,330,"Put"
2012-05-17,0.8,0,335,"Put"
2012-05-17,0.89,13,340,"Put"
2012-05-17,1.18,47,345,"Put"
2012-05-17,1.09,45,350,"Put"
2012-05-17,1.31,15,355,"Put"
2012-05-17,1.41,11,360,"Put"
2012-05-17,1.98,0,365,"Put"
2012-05-17,1.86,38,370,"Put"
2012-05-17,2.1,5,375,"Put"
2012-05-17,2.55,10,380,"Put"
2012-05-17,2.94,12,385,"Put"
2012-05-17,3.05,32,390,"Put"
2012-05-17,3.4,69,395,"Put"
2012-05-17,3.72,150,400,"Put"
2012-05-17,4.15,47,405,"Put"
2012-05-17,4.75,8,410,"Put"
2012-05-17,5.35,8,415,"Put"
2012-05-17,6,9,420,"Put"
2012-05-17,6.7,39,425,"Put"
2012-05-17,7.6,15,430,"Put"
2012-05-17,8.85,86,435,"Put"
2012-05-17,9.85,60,440,"Put"
2012-05-17,10.6,28,445,"Put"
2012-05-17,12,188,450,"Put"
2012-05-17,13.25,62,455,"Put"
2012-05-17,14.85,175,460,"Put"
2012-05-17,15.51,120,465,"Put"
2012-05-17,18.1,67,470,"Put"
2012-05-17,19,39,475,"Put"
2012-05-17,21.15,106,480,"Put"
2012-05-17,23.25,25,485,"Put"
2012-05-17,25.3,433,490,"Put"
2012-05-17,27.95,169,495,"Put"
2012-05-17,30.4,635,500,"Put"
