moneyness,fitted_vol
0.5,0.345961
0.505025,0.345789
0.51005,0.345609
0.515075,0.345422
0.520101,0.345228
0.525126,0.345025
0.530151,0.344814
0.535176,0.344594
0.540201,0.344365
0.545226,0.344127
0.550251,0.343878
0.555276,0.343619
0.560302,0.343349
0.565327,0.343068
0.570352,0.342774
0.575377,0.342469
0.580402,0.34215
0.585427,0.341818
0.590452,0.341473
0.595477,0.341113
0.600503,0.340739
0.605528,0.34035
0.610553,0.339946
0.615578,0.339526
0.620603,0.33909
0.625628,0.338638
0.630653,0.33817
0.635678,0.337685
0.640704,0.337184
0.645729,0.336666
0.650754,0.336133
0.655779,0.335583
0.660804,0.335017
0.665829,0.334436
0.670854,0.33384
0.675879,0.333229
0.680905,0.332605
0.68593,0.331969
0.690955,0.33132
0.69598,0.330661
0.701005,0.329993
0.70603,0.329316
0.711055,0.328632
0.71608,0.327942
0.721106,0.327248
0.726131,0.326551
0.731156,0.325853
0.736181,0.325155
0.741206,0.324459
0.746231,0.323767
0.751256,0.32308
0.756281,0.322399
0.761307,0.321726
0.766332,0.321062
0.771357,0.320409
0.776382,0.319769
0.781407,0.319141
0.786432,0.318528
0.791457,0.31793
0.796482,0.317349
0.801508,0.316785
0.806533,0.31624
0.811558,0.315714
0.816583,0.315207
0.821608,0.314722
0.826633,0.314258
0.831658,0.313817
0.836683,0.313398
0.841709,0.313003
0.846734,0.312632
0.851759,0.312286
0.856784,0.311966
0.861809,0.311672
0.866834,0.311406
0.871859,0.311167
0.876884,0.310958
0.88191,0.310778
0.886935,0.310629
0.89196,0.310511
0.896985,0.310426
0.90201,0.310375
0.907035,0.310357
0.91206,0.310375
0.917085,0.310429
0.922111,0.31052
0.927136,0.310648
0.932161,0.310815
0.937186,0.31102
0.942211,0.311264
0.947236,0.311547
0.952261,0.31187
0.957286,0.312231
0.962312,0.312632
0.967337,0.313071
0.972362,0.313547
0.977387,0.31406
0.982412,0.314609
0.987437,0.315191
0.992462,0.315807
0.997487,0.316453
1.00251,0.317129
1.00754,0.317831
1.01256,0.31856
1.01759,0.319311
1.02261,0.320083
1.02764,0.320875
1.03266,0.321683
1.03769,0.322506
1.04271,0.323342
1.04774,0.32419
1.05276,0.325047
1.05779,0.325913
1.06281,0.326785
1.06784,0.327664
1.07286,0.328547
1.07789,0.329436
1.08291,0.330329
1.08794,0.331226
1.09296,0.332127
1.09799,0.333034
1.10302,0.333945
1.10804,0.334863
1.11307,0.335787
1.11809,0.33672
1.12312,0.337661
1.12814,0.338613
1.13317,0.339576
1.13819,0.340552
1.14322,0.341542
1.14824,0.342546
1.15327,0.343567
1.15829,0.344604
1.16332,0.345658
1.16834,0.34673
1.17337,0.347819
1.17839,0.348927
1.18342,0.350051
1.18844,0.351192
1.19347,0.352348
1.19849,0.353518
1.20352,0.354701
1.20854,0.355894
1.21357,0.357095
1.21859,0.358303
1.22362,0.359514
1.22864,0.360727
1.23367,0.361939
1.23869,0.363147
1.24372,0.36435
1.24874,0.365544
1.25377,0.366728
1.25879,0.3679
1.26382,0.369059
1.26884,0.370202
1.27387,0.371328
1.27889,0.372437
1.28392,0.373528
1.28894,0.374599
1.29397,0.375651
1.29899,0.376684
1.30402,0.377697
1.30905,0.37869
1.31407,0.379663
1.3191,0.380618
1.32412,0.381553
1.32915,0.382471
1.33417,0.38337
1.3392,0.384251
1.34422,0.385116
1.34925,0.385963
1.35427,0.386795
1.3593,0.387611
1.36432,0.388411
1.36935,0.389197
1.37437,0.389967
1.3794,0.390724
1.38442,0.391466
1.38945,0.392195
1.39447,0.39291
1.3995,0.393612
1.40452,0.3943
1.40955,0.394975
1.41457,0.395637
1.4196,0.396286
1.42462,0.396923
1.42965,0.397546
1.43467,0.398157
1.4397,0.398755
1.44472,0.39934
1.44975,0.399913
1.45477,0.400473
1.4598,0.40102
1.46482,0.401555
1.46985,0.402077
1.47487,0.402587
1.4799,0.403084
1.48492,0.403569
1.48995,0.404041
1.49497,0.404502
1.5,0.40495
