moneyness,fitted_vol
0.5,0.393565
0.505025,0.393412
0.51005,0.393254
0.515075,0.393091
0.520101,0.392924
0.525126,0.392752
0.530151,0.392574
0.535176,0.392391
0.540201,0.392202
0.545226,0.392006
0.550251,0.391805
0.555276,0.391596
0.560302,0.39138
0.565327,0.391157
0.570352,0.390926
0.575377,0.390686
0.580402,0.390438
0.585427,0.390181
0.590452,0.389913
0.595477,0.389636
0.600503,0.389348
0.605528,0.389049
0.610553,0.388738
0.615578,0.388414
0.620603,0.388078
0.625628,0.387727
0.630653,0.387362
0.635678,0.386982
0.640704,0.386585
0.645729,0.386172
0.650754,0.385741
0.655779,0.385291
0.660804,0.384821
0.665829,0.384331
0.670854,0.383819
0.675879,0.383284
0.680905,0.382725
0.68593,0.382142
0.690955,0.381532
0.69598,0.380894
0.701005,0.380228
0.70603,0.379532
0.711055,0.378805
0.71608,0.378046
0.721106,0.377252
0.726131,0.376424
0.731156,0.37556
0.736181,0.374658
0.741206,0.373717
0.746231,0.372737
0.751256,0.371716
0.756281,0.370653
0.761307,0.369549
0.766332,0.368401
0.771357,0.36721
0.776382,0.365976
0.781407,0.364698
0.786432,0.363376
0.791457,0.362013
0.796482,0.360607
0.801508,0.35916
0.806533,0.357675
0.811558,0.356152
0.816583,0.354595
0.821608,0.353006
0.826633,0.351387
0.831658,0.349743
0.836683,0.348078
0.841709,0.346395
0.846734,0.3447
0.851759,0.342997
0.856784,0.341293
0.861809,0.339591
0.866834,0.337899
0.871859,0.336221
0.876884,0.334565
0.88191,0.332936
0.886935,0.33134
0.89196,0.329783
0.896985,0.32827
0.90201,0.326808
0.907035,0.325402
0.91206,0.324056
0.917085,0.322776
0.922111,0.321565
0.927136,0.320427
0.932161,0.319367
0.937186,0.318386
0.942211,0.317488
0.947236,0.316675
0.952261,0.315949
0.957286,0.315311
0.962312,0.314762
0.967337,0.314303
0.972362,0.313935
0.977387,0.313657
0.982412,0.31347
0.987437,0.313373
0.992462,0.313366
0.997487,0.313448
1.00251,0.313618
1.00754,0.313875
1.01256,0.31422
1.01759,0.314649
1.02261,0.315164
1.02764,0.315761
1.03266,0.316441
1.03769,0.317202
1.04271,0.318043
1.04774,0.318963
1.05276,0.31996
1.05779,0.321034
1.06281,0.322183
1.06784,0.323406
1.07286,0.324702
1.07789,0.326068
1.08291,0.327503
1.08794,0.329007
1.09296,0.330576
1.09799,0.33221
1.10302,0.333905
1.10804,0.33566
1.11307,0.337473
1.11809,0.339342
1.12312,0.341263
1.12814,0.343234
1.13317,0.345252
1.13819,0.347315
1.14322,0.349419
1.14824,0.351562
1.15327,0.353741
1.15829,0.355954
1.16332,0.358196
1.16834,0.360466
1.17337,0.362761
1.17839,0.365078
1.18342,0.367416
1.18844,0.369773
1.19347,0.372146
1.19849,0.374534
1.20352,0.376937
1.20854,0.379353
1.21357,0.381781
1.21859,0.384222
1.22362,0.386675
1.22864,0.389142
1.23367,0.391623
1.23869,0.394119
1.24372,0.396632
1.24874,0.399163
1.25377,0.401715
1.25879,0.404291
1.26382,0.406893
1.26884,0.409525
1.27387,0.41219
1.27889,0.414892
1.28392,0.417636
1.28894,0.420426
1.29397,0.423267
1.29899,0.426164
1.30402,0.429123
1.30905,0.432149
1.31407,0.435249
1.3191,0.438427
1.32412,0.44169
1.32915,0.445043
1.33417,0.44849
1.3392,0.452035
1.34422,0.45568
1.34925,0.459427
1.35427,0.463275
1.3593,0.467221
1.36432,0.471258
1.36935,0.475379
1.37437,0.479572
1.3794,0.483821
1.38442,0.48811
1.38945,0.492418
1.39447,0.496723
1.3995,0.501001
1.40452,0.505227
1.40955,0.509377
1.41457,0.513427
1.4196,0.517356
1.42462,0.521143
1.42965,0.524772
1.43467,0.528231
1.4397,0.531509
1.44472,0.534601
1.44975,0.537504
1.45477,0.540218
1.4598,0.542747
1.46482,0.545096
1.46985,0.547273
1.47487,0.549285
1.4799,0.551144
1.48492,0.552858
1.48995,0.554438
1.49497,0.555896
1.5,0.55724
