moneyness,fitted_vol
0.5,0.35275
0.505025,0.352354
0.51005,0.351958
0.515075,0.351562
0.520101,0.351165
0.525126,0.350768
0.530151,0.35037
0.535176,0.349973
0.540201,0.349576
0.545226,0.349179
0.550251,0.348783
0.555276,0.348386
0.560302,0.347989
0.565327,0.347593
0.570352,0.347196
0.575377,0.346799
0.580402,0.346401
0.585427,0.346003
0.590452,0.345604
0.595477,0.345203
0.600503,0.344801
0.605528,0.344397
0.610553,0.343989
0.615578,0.343579
0.620603,0.343165
0.625628,0.342747
0.630653,0.342323
0.635678,0.341893
0.640704,0.341457
0.645729,0.341013
0.650754,0.34056
0.655779,0.340097
0.660804,0.339624
0.665829,0.339139
0.670854,0.33864
0.675879,0.338127
0.680905,0.337598
0.68593,0.337053
0.690955,0.336488
0.69598,0.335904
0.701005,0.335299
0.70603,0.334671
0.711055,0.33402
0.71608,0.333344
0.721106,0.332642
0.726131,0.331913
0.731156,0.331157
0.736181,0.330374
0.741206,0.329563
0.746231,0.328724
0.751256,0.32786
0.756281,0.326969
0.761307,0.326055
0.766332,0.325119
0.771357,0.324165
0.776382,0.323194
0.781407,0.322211
0.786432,0.32122
0.791457,0.320225
0.796482,0.319232
0.801508,0.318246
0.806533,0.317271
0.811558,0.316315
0.816583,0.315381
0.821608,0.314477
0.826633,0.313606
0.831658,0.312775
0.836683,0.311987
0.841709,0.311246
0.846734,0.310558
0.851759,0.309923
0.856784,0.309346
0.861809,0.308829
0.866834,0.308371
0.871859,0.307975
0.876884,0.307641
0.88191,0.307368
0.886935,0.307157
0.89196,0.307005
0.896985,0.306911
0.90201,0.306875
0.907035,0.306893
0.91206,0.306963
0.917085,0.307084
0.922111,0.307252
0.927136,0.307464
0.932161,0.307719
0.937186,0.308013
0.942211,0.308343
0.947236,0.308707
0.952261,0.309101
0.957286,0.309525
0.962312,0.309974
0.967337,0.310447
0.972362,0.310942
0.977387,0.311456
0.982412,0.311988
0.987437,0.312535
0.992462,0.313097
0.997487,0.313672
1.00251,0.314258
1.00754,0.314854
1.01256,0.315458
1.01759,0.316071
1.02261,0.31669
1.02764,0.317315
1.03266,0.317945
1.03769,0.318579
1.04271,0.319216
1.04774,0.319856
1.05276,0.320498
1.05779,0.321141
1.06281,0.321785
1.06784,0.32243
1.07286,0.323076
1.07789,0.323721
1.08291,0.324368
1.08794,0.325015
1.09296,0.325665
1.09799,0.326316
1.10302,0.326971
1.10804,0.327631
1.11307,0.328297
1.11809,0.328972
1.12312,0.329658
1.12814,0.330357
1.13317,0.331073
1.13819,0.331808
1.14322,0.332565
1.14824,0.333349
1.15327,0.334162
1.15829,0.335007
1.16332,0.335886
1.16834,0.336802
1.17337,0.337755
1.17839,0.338746
1.18342,0.339773
1.18844,0.340833
1.19347,0.341923
1.19849,0.343036
1.20352,0.344166
1.20854,0.345304
1.21357,0.346441
1.21859,0.347567
1.22362,0.348672
1.22864,0.349748
1.23367,0.350784
1.23869,0.351774
1.24372,0.352712
1.24874,0.353593
1.25377,0.354413
1.25879,0.355172
1.26382,0.355869
1.26884,0.356504
1.27387,0.357081
1.27889,0.357601
1.28392,0.358068
1.28894,0.358486
1.29397,0.358858
1.29899,0.359189
1.30402,0.359481
1.30905,0.35974
1.31407,0.359968
1.3191,0.360168
1.32412,0.360344
1.32915,0.360499
1.33417,0.360634
1.3392,0.360752
1.34422,0.360856
1.34925,0.360946
1.35427,0.361025
1.3593,0.361095
1.36432,0.361155
1.36935,0.361207
1.37437,0.361253
1.3794,0.361294
1.38442,0.361328
1.38945,0.361359
1.39447,0.361386
1.3995,0.361409
1.40452,0.361429
1.40955,0.361447
1.41457,0.361462
1.4196,0.361476
1.42462,0.361488
1.42965,0.361498
1.43467,0.361507
1.4397,0.361515
1.44472,0.361522
1.44975,0.361528
1.45477,0.361533
1.4598,0.361537
1.46482,0.361541
1.46985,0.361545
1.47487,0.361548
1.4799,0.361551
1.48492,0.361553
1.48995,0.361555
1.49497,0.361557
1.5,0.361559
