moneyness,maturity,fitted_vol
0.652104,0.0794521,0.388726
0.652104,0.0828627,0.387999
0.652104,0.0862734,0.387166
0.652104,0.0896841,0.386212
0.652104,0.0930948,0.385126
0.652104,0.0965055,0.383895
0.652104,0.0999161,0.382511
0.652104,0.103327,0.380965
0.652104,0.106737,0.379257
0.652104,0.110148,0.377391
0.652104,0.113559,0.375379
0.652104,0.11697,0.373242
0.652104,0.12038,0.371009
0.652104,0.123791,0.368716
0.652104,0.127202,0.366405
0.652104,0.130612,0.364122
0.652104,0.134023,0.36191
0.652104,0.137434,0.359807
0.652104,0.140844,0.357847
0.652104,0.144255,0.356051
0.652104,0.147666,0.354435
0.652104,0.151076,0.353002
0.652104,0.154487,0.35175
0.652104,0.157898,0.350669
0.652104,0.161308,0.349747
0.652104,0.164719,0.348967
0.652104,0.16813,0.348313
0.652104,0.17154,0.347769
0.652104,0.174951,0.34732
0.652104,0.178362,0.34695
0.652104,0.181772,0.346646
0.652104,0.185183,0.346399
0.652104,0.188594,0.346197
0.652104,0.192004,0.346034
0.652104,0.195415,0.345901
0.652104,0.198826,0.345794
0.652104,0.202237,0.345707
0.652104,0.205647,0.345638
0.652104,0.209058,0.345581
0.652104,0.212469,0.345536
0.652104,0.215879,0.345499
0.652104,0.21929,0.34547
0.652104,0.222701,0.345446
0.652104,0.226111,0.345427
0.652104,0.229522,0.345411
0.652104,0.232933,0.345398
0.652104,0.236343,0.345388
0.652104,0.239754,0.34538
0.652104,0.243165,0.345374
0.652104,0.246575,0.345368
0.669848,0.0794521,0.388146
0.669848,0.0828627,0.387531
0.669848,0.0862734,0.386829
0.669848,0.0896841,0.386028
0.669848,0.0930948,0.385117
0.669848,0.0965055,0.384084
0.669848,0.0999161,0.382917
0.669848,0.103327,0.381607
0.669848,0.106737,0.380145
0.669848,0.110148,0.378529
0.669848,0.113559,0.376759
0.669848,0.11697,0.374841
0.669848,0.12038,0.372791
0.669848,0.123791,0.37063
0.669848,0.127202,0.368388
0.669848,0.130612,0.3661
0.669848,0.134023,0.363809
0.669848,0.137434,0.361554
0.669848,0.140844,0.359377
0.669848,0.144255,0.357312
0.669848,0.147666,0.35539
0.669848,0.151076,0.353631
0.669848,0.154487,0.352046
0.669848,0.157898,0.350639
0.669848,0.161308,0.349407
0.669848,0.164719,0.34834
0.669848,0.16813,0.347427
0.669848,0.17154,0.346652
0.669848,0.174951,0.346
0.669848,0.178362,0.345455
0.669848,0.181772,0.345001
0.669848,0.185183,0.344627
0.669848,0.188594,0.344318
0.669848,0.192004,0.344064
0.669848,0.195415,0.343857
0.669848,0.198826,0.343687
0.669848,0.202237,0.343549
0.669848,0.205647,0.343436
0.669848,0.209058,0.343344
0.669848,0.212469,0.343269
0.669848,0.215879,0.343208
0.669848,0.21929,0.343158
0.669848,0.222701,0.343118
0.669848,0.226111,0.343085
0.669848,0.229522,0.343058
0.669848,0.232933,0.343036
0.669848,0.236343,0.343018
0.669848,0.239754,0.343003
0.669848,0.243165,0.342991
0.669848,0.246575,0.342981
0.687593,0.0794521,0.387129
0.687593,0.0828627,0.386591
0.687593,0.0862734,0.385981
0.687593,0.0896841,0.385288
0.687593,0.0930948,0.384503
0.687593,0.0965055,0.383616
0.687593,0.0999161,0.382615
0.687593,0.103327,0.381491
0.687593,0.106737,0.380235
0.687593,0.110148,0.378838
0.687593,0.113559,0.377297
0.687593,0.11697,0.37561
0.687593,0.12038,0.373781
0.687593,0.123791,0.371821
0.687593,0.127202,0.369746
0.687593,0.130612,0.36758
0.687593,0.134023,0.365352
0.687593,0.137434,0.363099
0.687593,0.140844,0.360856
0.687593,0.144255,0.358664
