date,maturity,last,strike,moneyness,type,imp_vol
2012-04-17,0.164384,24.05,505,0.994297,Call,0.304617
2012-04-17,0.164384,21.7,510,0.984549,Call,0.303311
2012-04-17,0.164384,20.05,515,0.97499,Call,0.308756
2012-04-17,0.164384,18,520,0.965615,Call,0.307402
2012-04-17,0.164384,16.05,525,0.956419,Call,0.305421
2012-04-17,0.164384,14.45,530,0.947396,Call,0.306088
2012-04-17,0.164384,12.85,535,0.938542,Call,0.304971
2012-04-17,0.164384,11.55,540,0.929852,Call,0.306166
2012-04-17,0.164384,10.23,545,0.921321,Call,0.305389
2012-04-17,0.164384,9.1,550,0.912945,Call,0.305679
2012-04-17,0.164384,8,555,0.904721,Call,0.304748
2012-04-17,0.164384,6.95,560,0.896643,Call,0.302842
2012-04-17,0.164384,6.1,565,0.888708,Call,0.302608
2012-04-17,0.164384,5.5,570,0.880912,Call,0.305475
2012-04-17,0.164384,4.85,575,0.873252,Call,0.306069
2012-04-17,0.164384,4.4,580,0.865724,Call,0.309508
2012-04-17,0.164384,3.95,585,0.858325,Call,0.311875
2012-04-17,0.164384,3.45,590,0.851051,Call,0.311826
2012-04-17,0.164384,3.1,595,0.843899,Call,0.314298
2012-04-17,0.164384,2.91,600,0.836867,Call,0.320255
2012-04-17,0.164384,2.17,610,0.823148,Call,0.318785
2012-04-17,0.164384,1.92,620,0.809871,Call,0.32987
2012-04-17,0.164384,0.9,650,0.772492,Call,0.334871
2012-04-17,0.164384,0.7,670,0.749433,Call,0.352101
2012-04-17,0.164384,0.64,360,1.39478,Put,0.41778
2012-04-17,0.164384,0.79,370,1.35708,Put,0.40185
2012-04-17,0.164384,0.82,375,1.33899,Put,0.389302
2012-04-17,0.164384,1.03,380,1.32137,Put,0.389902
2012-04-17,0.164384,1.16,385,1.30421,Put,0.383063
2012-04-17,0.164384,1.37,390,1.28749,Put,0.379857
2012-04-17,0.164384,1.51,395,1.27119,Put,0.371525
2012-04-17,0.164384,1.81,400,1.2553,Put,0.369884
2012-04-17,0.164384,2.01,405,1.2398,Put,0.362243
2012-04-17,0.164384,2.47,410,1.22468,Put,0.363425
2012-04-17,0.164384,3.22,420,1.19552,Put,0.353834
2012-04-17,0.164384,3.7,425,1.18146,Put,0.349965
2012-04-17,0.164384,4.31,430,1.16772,Put,0.347845
2012-04-17,0.164384,4.85,435,1.1543,Put,0.342304
2012-04-17,0.164384,5.75,440,1.14118,Put,0.343134
2012-04-17,0.164384,6.55,445,1.12836,Put,0.339761
2012-04-17,0.164384,7.5,450,1.11582,Put,0.337498
2012-04-17,0.164384,8.65,455,1.10356,Put,0.336875
2012-04-17,0.164384,9.75,460,1.09157,Put,0.333467
2012-04-17,0.164384,11.25,465,1.07983,Put,0.334505
2012-04-17,0.164384,12.3,470,1.06834,Put,0.326873
2012-04-17,0.164384,14.1,475,1.05709,Put,0.328384
2012-04-17,0.164384,15.8,480,1.04608,Put,0.326451
2012-04-17,0.164384,17.8,485,1.0353,Put,0.32661
2012-04-17,0.164384,20.2,490,1.02473,Put,0.32994
2012-04-17,0.164384,22.03,495,1.01438,Put,0.324094
2012-04-17,0.164384,24.43,500,1.00424,Put,0.323616
