date,maturity,last,strike,moneyness,type,imp_vol
2012-03-17,0.0794521,15.9,505,0.994297,Call,0.299931
2012-03-17,0.0794521,13.7,510,0.984549,Call,0.29985
2012-03-17,0.0794521,12.35,515,0.97499,Call,0.311129
2012-03-17,0.0794521,10,520,0.965615,Call,0.30027
2012-03-17,0.0794521,8.45,525,0.956419,Call,0.300234
2012-03-17,0.0794521,7.15,530,0.947396,Call,0.301402
2012-03-17,0.0794521,6,535,0.938542,Call,0.302109
2012-03-17,0.0794521,5.1,540,0.929852,Call,0.305051
2012-03-17,0.0794521,4.3,545,0.921321,Call,0.307289
2012-03-17,0.0794521,3.55,550,0.912945,Call,0.307624
2012-03-17,0.0794521,3,555,0.904721,Call,0.310697
2012-03-17,0.0794521,2.53,560,0.896643,Call,0.313664
2012-03-17,0.0794521,2.15,565,0.888708,Call,0.317336
2012-03-17,0.0794521,1.83,570,0.880912,Call,0.321095
2012-03-17,0.0794521,1.58,575,0.873252,Call,0.325872
2012-03-17,0.0794521,1.37,580,0.865724,Call,0.330795
2012-03-17,0.0794521,1.14,585,0.858325,Call,0.332671
2012-03-17,0.0794521,1.02,590,0.851051,Call,0.33945
2012-03-17,0.0794521,0.82,595,0.843899,Call,0.339042
2012-03-17,0.0794521,0.8,600,0.836867,Call,0.350862
2012-03-17,0.0794521,0.56,610,0.823148,Call,0.354625
2012-03-17,0.0794521,0.49,615,0.816455,Call,0.35908
2012-03-17,0.0794521,0.48,620,0.809871,Call,0.369775
2012-03-17,0.0794521,0.4,625,0.803392,Call,0.371055
2012-03-17,0.0794521,0.36,630,0.797016,Call,0.376528
2012-03-17,0.0794521,0.32,635,0.79074,Call,0.381155
2012-03-17,0.0794521,0.31,640,0.784563,Call,0.390213
2012-03-17,0.0794521,0.27,645,0.778481,Call,0.393391
2012-03-17,0.0794521,0.26,650,0.772492,Call,0.401724
2012-03-17,0.0794521,0.15,655,0.766595,Call,0.384604
2012-03-17,0.0794521,0.13,660,0.760788,Call,0.387648
2012-03-17,0.0794521,0.13,665,0.755068,Call,0.396986
2012-03-17,0.0794521,0.1,675,0.743881,Call,0.403458
2012-03-17,0.0794521,0.11,330,1.52158,Put,0.58312
2012-03-17,0.0794521,0.14,340,1.47682,Put,0.560436
2012-03-17,0.0794521,0.16,345,1.45542,Put,0.550042
2012-03-17,0.0794521,0.31,370,1.35708,Put,0.49853
2012-03-17,0.0794521,0.32,375,1.33899,Put,0.481393
2012-03-17,0.0794521,0.4,390,1.28749,Put,0.438721
2012-03-17,0.0794521,0.49,395,1.27119,Put,0.433117
2012-03-17,0.0794521,0.56,400,1.2553,Put,0.42281
2012-03-17,0.0794521,0.6,405,1.2398,Put,0.407911
2012-03-17,0.0794521,0.65,410,1.22468,Put,0.39369
2012-03-17,0.0794521,0.78,415,1.20993,Put,0.386548
2012-03-17,0.0794521,0.9,420,1.19552,Put,0.376606
2012-03-17,0.0794521,1.1,425,1.18146,Put,0.370978
2012-03-17,0.0794521,1.29,430,1.16772,Put,0.362273
2012-03-17,0.0794521,1.56,435,1.1543,Put,0.35612
2012-03-17,0.0794521,1.86,440,1.14118,Put,0.348939
2012-03-17,0.0794521,2.23,445,1.12836,Put,0.342403
2012-03-17,0.0794521,2.67,450,1.11582,Put,0.33595
2012-03-17,0.0794521,3.2,455,1.10356,Put,0.329853
2012-03-17,0.0794521,3.75,460,1.09157,Put,0.321539
2012-03-17,0.0794521,4.7,465,1.07983,Put,0.321521
2012-03-17,0.0794521,5.65,470,1.06834,Put,0.3174
2012-03-17,0.0794521,6.8,475,1.05709,Put,0.314327
2012-03-17,0.0794521,8.15,480,1.04608,Put,0.311755
2012-03-17,0.0794521,9.7,485,1.0353,Put,0.309313
2012-03-17,0.0794521,11.7,490,1.02473,Put,0.31144
2012-03-17,0.0794521,13.75,495,1.01438,Put,0.310244
2012-03-17,0.0794521,16.2,500,1.00424,Put,0.312175
