date,maturity,last,strike,moneyness,type,imp_vol
2012-05-17,0.246575,30.05,505,0.994297,Call,0.305728
2012-05-17,0.246575,27.8,510,0.984549,Call,0.30579
2012-05-17,0.246575,25.6,515,0.97499,Call,0.305064
2012-05-17,0.246575,23.25,520,0.965615,Call,0.301565
2012-05-17,0.246575,21.3,525,0.956419,Call,0.300849
2012-05-17,0.246575,19.9,530,0.947396,Call,0.304588
2012-05-17,0.246575,12.95,550,0.912945,Call,0.293265
2012-05-17,0.246575,11.42,560,0.896643,Call,0.302929
2012-05-17,0.246575,10.45,565,0.888708,Call,0.303979
2012-05-17,0.246575,8.4,575,0.873252,Call,0.30148
2012-05-17,0.246575,6.5,590,0.851051,Call,0.306921
2012-05-17,0.246575,5.6,595,0.843899,Call,0.302527
2012-05-17,0.246575,4.95,600,0.836867,Call,0.301062
2012-05-17,0.246575,4.6,605,0.82995,Call,0.304181
2012-05-17,0.246575,3.85,615,0.816455,Call,0.307525
2012-05-17,0.246575,2.79,630,0.797016,Call,0.308316
2012-05-17,0.246575,2.4,640,0.784563,Call,0.313523
2012-05-17,0.246575,1.23,675,0.743881,Call,0.32123
2012-05-17,0.246575,1.43,680,0.738412,Call,0.336678
2012-05-17,0.246575,1.14,685,0.733022,Call,0.329722
2012-05-17,0.246575,1.04,690,0.72771,Call,0.33081
2012-05-17,0.246575,0.95,695,0.722475,Call,0.331954
2012-05-17,0.246575,0.85,700,0.717314,Call,0.331984
2012-05-17,0.246575,0.8,705,0.712227,Call,0.334662
2012-05-17,0.246575,0.9,710,0.707211,Call,0.346782
2012-05-17,0.246575,0.78,715,0.702266,Call,0.344805
2012-05-17,0.246575,0.74,720,0.697389,Call,0.347658
2012-05-17,0.246575,0.61,725,0.692579,Call,0.343307
2012-05-17,0.246575,0.66,730,0.687836,Call,0.352698
2012-05-17,0.246575,0.43,770,0.652104,Call,0.372103
2012-05-17,0.246575,3.72,400,1.2553,Put,0.36157
2012-05-17,0.246575,12,450,1.11582,Put,0.341114
2012-05-17,0.246575,14.85,460,1.09157,Put,0.339345
2012-05-17,0.246575,15.51,465,1.07983,Put,0.32747
2012-05-17,0.246575,21.15,480,1.04608,Put,0.327911
2012-05-17,0.246575,25.3,490,1.02473,Put,0.325802
2012-05-17,0.246575,27.95,495,1.01438,Put,0.328779
2012-05-17,0.246575,30.4,500,1.00424,Put,0.328424
