date,Last,Chg,Bid,Ask,Vol,Open Int,Root,Strike,type
21-Apr-12,24.05,-0.15,24.2,24.45,1111,5968,AAPL ,505,Call
21-Apr-12,21.7,-0.2,21.9,22.15,3813,8042,AAPL ,510,Call
21-Apr-12,20.05,0.3,19.8,20.05,668,4115,AAPL ,515,Call
21-Apr-12,18,0.3,17.95,18,3672,3557,AAPL ,520,Call
21-Apr-12,16.05,0.05,16,16.25,550,8253,AAPL ,525,Call
21-Apr-12,14.45,0.17,14.3,14.55,528,4410,AAPL ,530,Call
21-Apr-12,12.85,-0.05,12.75,13,1452,3014,AAPL ,535,Call
21-Apr-12,11.55,0.21,11.4,11.65,227,2675,AAPL ,540,Call
21-Apr-12,10.23,0.13,10.15,10.4,248,1427,AAPL ,545,Call
21-Apr-12,9.1,0.15,9.05,9.2,2225,7114,AAPL ,550,Call
21-Apr-12,8,0.15,8.05,8.25,229,1898,AAPL ,555,Call
21-Apr-12,6.95,-,7.1,7.35,303,2280,AAPL ,560,Call
21-Apr-12,6.1,-0.2,6.35,6.5,517,11107,AAPL ,565,Call
21-Apr-12,5.5,-0.05,5.6,5.8,142,1752,AAPL ,570,Call
21-Apr-12,4.85,-0.05,4.95,5.15,341,1063,AAPL ,575,Call
21-Apr-12,4.4,0.15,4.4,4.6,677,1425,AAPL ,580,Call
21-Apr-12,3.95,-,3.9,4.1,286,1339,AAPL ,585,Call
21-Apr-12,3.45,0.1,3.45,3.6,117,2733,AAPL ,590,Call
21-Apr-12,3.1,0.05,3.05,3.25,372,1255,AAPL ,595,Call
21-Apr-12,2.91,0.29,2.75,2.86,1083,5075,AAPL ,600,Call
21-Apr-12,2.45,-,2.42,2.56,88,1475,AAPL ,605,Call
21-Apr-12,2.17,0.13,2.17,2.27,235,1738,AAPL ,610,Call
21-Apr-12,1.78,-0.38,1.95,2.03,54,737,AAPL ,615,Call
21-Apr-12,1.92,0.28,1.69,1.81,118,1047,AAPL ,620,Call
21-Apr-12,1.5,0.04,1.5,1.6,54,1169,AAPL ,625,Call
21-Apr-12,1.35,0.12,1.36,1.44,45,1785,AAPL ,630,Call
21-Apr-12,1.13,-0.07,1.19,1.32,5,760,AAPL ,635,Call
21-Apr-12,1.18,0.19,1.09,1.2,78,500,AAPL ,640,Call
21-Apr-12,1.25,-0.09,1.01,1.11,12,738,AAPL ,645,Call
21-Apr-12,0.9,-,0.93,1,155,2744,AAPL ,650,Call
21-Apr-12,0.8,-0.17,0.84,0.94,57,900,AAPL ,655,Call
21-Apr-12,0.95,0.13,0.78,0.87,42,817,AAPL ,660,Call
21-Apr-12,0.65,-0.25,0.73,0.81,18,663,AAPL ,665,Call
21-Apr-12,0.7,0.03,0.66,0.7,220,1419,AAPL ,670,Call
21-Apr-12,0.58,-0.12,0.63,0.71,52,270,AAPL ,675,Call
21-Apr-12,0.56,-0.12,0.58,0.67,37,217,AAPL ,680,Call
21-Apr-12,0.52,-0.22,0.55,0.65,10,161,AAPL ,685,Call
21-Apr-12,0.46,-0.18,0.5,0.61,17,66,AAPL ,690,Call
21-Apr-12,0.48,,0.45,0.58,0,101,AAPL ,695,Call
21-Apr-12,0.42,0.01,0.45,0.55,92,216,AAPL ,700,Call
21-Apr-12,0.45,0.2,0.41,0.54,2,189,AAPL ,705,Call
21-Apr-12,0.23,,0.4,0.53,0,112,AAPL ,710,Call
21-Apr-12,0.25,,0.38,0.51,0,91,AAPL ,715,Call
21-Apr-12,0.23,,0.3,0.5,0,172,AAPL ,720,Call
21-Apr-12,0.38,,0.3,0.47,0,25,AAPL ,725,Call
21-Apr-12,0.31,-0.14,0.27,0.46,1,24,AAPL ,730,Call
21-Apr-12,0.35,0.08,0.31,0.44,5,35,AAPL ,735,Call
21-Apr-12,0.4,,0.29,0.41,0,239,AAPL ,740,Call
21-Apr-12,0.24,,0.28,0.4,0,99,AAPL ,745,Call
21-Apr-12,0.25,,0.26,0.37,0,238,AAPL ,750,Call
21-Apr-12,0.08,,,0.15,0,453,AAPL ,165,Put
21-Apr-12,0.06,,,0.1,0,128,AAPL ,170,Put
21-Apr-12,0.05,,,0.09,0,453,AAPL ,175,Put
21-Apr-12,0.05,,,0.15,0,269,AAPL ,180,Put
21-Apr-12,0.06,,,0.15,0,900,AAPL ,185,Put
21-Apr-12,0.07,,,0.26,0,479,AAPL ,190,Put
21-Apr-12,0.03,,,0.15,0,300,AAPL ,195,Put
21-Apr-12,0.01,,,0.15,0,2342,AAPL ,200,Put
21-Apr-12,0.15,,,0.15,0,275,AAPL ,205,Put
21-Apr-12,0.05,,,0.15,0,582,AAPL ,210,Put
21-Apr-12,0.04,,,0.15,0,434,AAPL ,215,Put
21-Apr-12,0.03,,,0.15,0,358,AAPL ,220,Put
21-Apr-12,0.05,,,0.15,0,208,AAPL ,225,Put
21-Apr-12,0.04,,,0.15,0,754,AAPL ,230,Put
21-Apr-12,0.03,,,0.11,0,772,AAPL ,235,Put
21-Apr-12,0.02,,,0.11,0,440,AAPL ,240,Put
21-Apr-12,0.07,,,0.15,0,688,AAPL ,245,Put
21-Apr-12,0.09,0.02,0.04,0.11,51,3816,AAPL ,250,Put
21-Apr-12,0.07,,,0.13,0,499,AAPL ,255,Put
21-Apr-12,0.05,,,0.13,0,567,AAPL ,260,Put
21-Apr-12,0.05,,0.01,0.13,0,464,AAPL ,265,Put
21-Apr-12,0.28,,0.01,0.14,0,448,AAPL ,270,Put
21-Apr-12,0.05,,,0.15,0,429,AAPL ,275,Put
21-Apr-12,0.1,,,0.17,0,903,AAPL ,280,Put
21-Apr-12,0.15,,,0.16,0,544,AAPL ,285,Put
21-Apr-12,0.05,,0.1,0.17,0,827,AAPL ,290,Put
21-Apr-12,0.31,,0.15,0.19,0,427,AAPL ,295,Put
21-Apr-12,0.17,-0.05,0.14,0.22,1,3464,AAPL ,300,Put
21-Apr-12,0.13,,0.03,0.23,0,1182,AAPL ,305,Put
21-Apr-12,0.21,,0.17,0.24,0,1429,AAPL ,310,Put
21-Apr-12,0.2,,0.09,0.26,0,1194,AAPL ,315,Put
21-Apr-12,0.29,0.04,0.12,0.3,30,1443,AAPL ,320,Put
21-Apr-12,0.37,,0.16,0.34,0,1372,AAPL ,325,Put
21-Apr-12,0.35,-0.04,0.24,0.38,7,2965,AAPL ,330,Put
21-Apr-12,0.4,,0.27,0.39,0,1105,AAPL ,335,Put
21-Apr-12,0.42,,0.32,0.44,0,1408,AAPL ,340,Put
21-Apr-12,0.51,0.07,0.39,0.49,5,984,AAPL ,345,Put
21-Apr-12,0.55,-0.01,0.45,0.55,2,4142,AAPL ,350,Put
21-Apr-12,0.68,0.22,0.51,0.6,18,1374,AAPL ,355,Put
21-Apr-12,0.64,-0.06,0.58,0.65,286,3080,AAPL ,360,Put
21-Apr-12,0.74,0.14,0.65,0.73,12,1435,AAPL ,365,Put
21-Apr-12,0.79,-0.09,0.74,0.82,313,2960,AAPL ,370,Put
21-Apr-12,0.82,-0.18,0.83,0.94,161,2937,AAPL ,375,Put
21-Apr-12,1.03,-0.1,0.93,1.03,434,3006,AAPL ,380,Put
21-Apr-12,1.16,-0.15,1.1,1.18,198,1664,AAPL ,385,Put
21-Apr-12,1.37,-0.23,1.27,1.37,181,4350,AAPL ,390,Put
21-Apr-12,1.51,-0.22,1.48,1.57,307,2168,AAPL ,395,Put
21-Apr-12,1.81,-0.11,1.75,1.82,501,8705,AAPL ,400,Put
21-Apr-12,2.01,-0.24,2.01,2.11,116,2624,AAPL ,405,Put
21-Apr-12,2.47,-0.07,2.32,2.43,111,4986,AAPL ,410,Put
21-Apr-12,2.84,-0.08,2.71,2.84,57,2819,AAPL ,415,Put
21-Apr-12,3.22,-0.23,3.1,3.3,272,5370,AAPL ,420,Put
21-Apr-12,3.7,-0.25,3.65,3.8,134,4966,AAPL ,425,Put
21-Apr-12,4.31,-0.29,4.2,4.4,186,3199,AAPL ,430,Put
