date,Last,Chg,Bid,Ask,Vol,Open Int,Root,Strike,type
03-17-12,15.9,0.1,15.8,15.9,8915,9377,AAPL ,505,Call
03-17-12,13.7,0.1,13.65,13.7,9265,12126,AAPL ,510,Call
03-17-12,12.35,0.6,11.65,11.85,5141,6620,AAPL ,515,Call
03-17-12,10,0.2,9.95,10.1,7725,10654,AAPL ,520,Call
03-17-12,8.45,-0.05,8.4,8.6,6137,6521,AAPL ,525,Call
03-17-12,7.15,0.05,7.1,7.2,3510,8228,AAPL ,530,Call
03-17-12,6,0.05,6,6.1,2442,7456,AAPL ,535,Call
03-17-12,5.1,0.05,5.05,5.15,3747,8082,AAPL ,540,Call
03-17-12,4.3,0.05,4.25,4.4,1316,3186,AAPL ,545,Call
03-17-12,3.55,-0.05,3.6,3.65,4560,9807,AAPL ,550,Call
03-17-12,3,-0.03,3,3.15,1094,3030,AAPL ,555,Call
03-17-12,2.53,-0.01,2.5,2.58,2682,3219,AAPL ,560,Call
03-17-12,2.15,-,2.15,2.23,1296,2579,AAPL ,565,Call
03-17-12,1.83,-,1.82,1.91,2645,2488,AAPL ,570,Call
03-17-12,1.58,0.04,1.54,1.61,1285,3850,AAPL ,575,Call
03-17-12,1.37,0.04,1.31,1.38,322,1910,AAPL ,580,Call
03-17-12,1.14,-0.2,1.14,1.18,171,2296,AAPL ,585,Call
03-17-12,1.02,0.05,0.97,1.02,261,2641,AAPL ,590,Call
03-17-12,0.82,-0.03,0.87,0.9,433,1856,AAPL ,595,Call
03-17-12,0.8,0.04,0.75,0.81,1176,6151,AAPL ,600,Call
03-17-12,0.7,0.05,0.63,0.69,95,1490,AAPL ,605,Call
03-17-12,0.56,-0.08,0.54,0.61,180,655,AAPL ,610,Call
03-17-12,0.49,-0.04,0.46,0.54,162,923,AAPL ,615,Call
03-17-12,0.48,0.03,0.43,0.5,343,1375,AAPL ,620,Call
03-17-12,0.4,-0.1,0.38,0.44,305,1580,AAPL ,625,Call
03-17-12,0.36,-0.1,0.34,0.46,397,1395,AAPL ,630,Call
03-17-12,0.32,-0.05,0.29,0.37,119,1227,AAPL ,635,Call
03-17-12,0.31,-0.01,0.28,0.31,446,1259,AAPL ,640,Call
03-17-12,0.27,-0.06,0.21,0.27,166,765,AAPL ,645,Call
03-17-12,0.26,-0.03,0.18,0.25,324,2431,AAPL ,650,Call
03-17-12,0.15,-0.09,0.15,0.19,553,1129,AAPL ,655,Call
03-17-12,0.13,-0.01,0.13,0.15,694,2408,AAPL ,660,Call
03-17-12,0.13,-0.04,0.1,0.13,330,990,AAPL ,665,Call
03-17-12,0.08,-0.06,0.08,0.1,604,958,AAPL ,670,Call
03-17-12,0.1,0.01,0.05,0.1,169,325,AAPL ,675,Call
03-17-12,0.08,-0.02,0.03,0.07,33,213,AAPL ,680,Call
03-17-12,0.05,-0.03,0.03,0.07,22,220,AAPL ,685,Call
03-17-12,0.05,-0.02,0.04,0.06,24,188,AAPL ,690,Call
03-17-12,0.07,,,0.06,0,312,AAPL ,695,Call
03-17-12,0.05,,,0.06,0,766,AAPL ,700,Call
03-17-12,0.06,,,0.13,0,32,AAPL ,705,Call
03-17-12,,,,0.28,0,0,AAPL ,710,Call
03-17-12,0.04,,,0.11,0,8,AAPL ,715,Call
03-17-12,0.04,,,0.11,0,50,AAPL ,720,Call
03-17-12,0.05,,,0.11,0,52,AAPL ,725,Call
03-17-12,,,,0.22,0,0,AAPL ,730,Call
03-17-12,,,,0.21,0,0,AAPL ,735,Call
03-17-12,0.09,,,0.1,0,36,AAPL ,740,Call
03-17-12,0.01,,,0.11,0,107,AAPL ,750,Call
03-17-12,,,,0.16,0,0,AAPL ,755,Call
03-17-12,,,,0.17,0,0,AAPL ,760,Call
03-17-12,,,,0.17,0,0,AAPL ,765,Call
03-17-12,,,,0.17,0,0,AAPL ,770,Call
03-17-12,,,,0.17,0,0,AAPL ,775,Call
03-17-12,,,,0.17,0,0,AAPL ,780,Call
03-17-12,,,,0.19,0,0,AAPL ,785,Call
17-Mar-12,0.01,,,0.01,0,781,AAPL ,185,Put
17-Mar-12,0.06,0.05,,0.04,3,9,AAPL ,190,Put
17-Mar-12,0.07,,,0.13,0,9,AAPL ,195,Put
17-Mar-12,0.03,,,0.15,0,17,AAPL ,200,Put
17-Mar-12,0.01,,,0.15,0,52,AAPL ,205,Put
17-Mar-12,0.1,,,0.13,0,45,AAPL ,210,Put
17-Mar-12,0.01,,,0.15,0,35,AAPL ,215,Put
17-Mar-12,0.06,,,0.15,0,37,AAPL ,220,Put
17-Mar-12,0.4,,,0.15,0,32,AAPL ,225,Put
17-Mar-12,0.5,,,0.15,0,53,AAPL ,230,Put
17-Mar-12,0.02,,,0.12,0,112,AAPL ,235,Put
17-Mar-12,0.1,,,0.15,0,138,AAPL ,240,Put
17-Mar-12,0.02,,,0.1,0,63,AAPL ,245,Put
17-Mar-12,0.01,,,0.05,0,173,AAPL ,250,Put
17-Mar-12,0.1,,,0.1,0,88,AAPL ,255,Put
17-Mar-12,0.01,,0.01,0.09,0,284,AAPL ,260,Put
17-Mar-12,0.75,,,0.09,0,71,AAPL ,265,Put
17-Mar-12,0.15,,,0.12,0,90,AAPL ,270,Put
17-Mar-12,0.02,,0.01,0.05,0,222,AAPL ,275,Put
17-Mar-12,0.05,,,0.12,0,463,AAPL ,280,Put
17-Mar-12,0.05,,,0.13,0,238,AAPL ,285,Put
17-Mar-12,0.04,-,,0.04,157,406,AAPL ,290,Put
17-Mar-12,0.05,0.01,,0.05,250,913,AAPL ,295,Put
17-Mar-12,0.06,0.01,0.01,0.06,547,1890,AAPL ,300,Put
17-Mar-12,0.06,0.04,0.06,0.09,5,1012,AAPL ,305,Put
17-Mar-12,0.12,0.01,0.01,0.1,51,632,AAPL ,310,Put
17-Mar-12,0.09,0.02,0.02,0.1,17,609,AAPL ,315,Put
