date,Last,Chg,Bid,Ask,Vol,Open Int,Root,Strike,type
19-May-12,30.05,-0.5,29.9,30.25,360,1224,AAPL ,505,Call
19-May-12,27.8,-0.2,27.6,28,613,1766,AAPL ,510,Call
19-May-12,25.6,-0.4,25.35,25.75,139,1344,AAPL ,515,Call
19-May-12,23.25,-0.5,23.25,23.7,501,1712,AAPL ,520,Call
19-May-12,21.3,-1,21.3,21.75,231,1298,AAPL ,525,Call
19-May-12,19.9,-0.1,19.6,19.95,187,1452,AAPL ,530,Call
19-May-12,17.9,-0.2,17.8,18.35,30,613,AAPL ,535,Call
19-May-12,16.55,-0.64,16.3,16.7,78,1054,AAPL ,540,Call
19-May-12,15.1,-,14.85,15.25,95,776,AAPL ,545,Call
19-May-12,12.95,-1.05,13.55,13.7,480,2499,AAPL ,550,Call
19-May-12,12.75,-0.35,12.35,12.6,37,638,AAPL ,555,Call
19-May-12,11.42,0.22,11.15,11.45,192,945,AAPL ,560,Call
19-May-12,10.45,-0.25,10.1,10.45,124,659,AAPL ,565,Call
19-May-12,9.3,-0.85,9.15,9.5,59,583,AAPL ,570,Call
19-May-12,8.4,-0.6,8.2,8.7,164,777,AAPL ,575,Call
19-May-12,7.5,-0.43,7.3,7.85,40,608,AAPL ,580,Call
19-May-12,6.9,-0.55,6.8,7.1,48,389,AAPL ,585,Call
19-May-12,6.5,-0.2,6.05,6.45,101,382,AAPL ,590,Call
19-May-12,5.6,-0.4,5.55,5.85,170,345,AAPL ,595,Call
19-May-12,4.95,-0.4,5.05,5.3,222,1535,AAPL ,600,Call
19-May-12,4.6,-0.1,4.6,4.95,242,392,AAPL ,605,Call
19-May-12,4.45,0.1,4.1,4.35,66,426,AAPL ,610,Call
19-May-12,3.85,-0.05,3.75,3.95,330,844,AAPL ,615,Call
19-May-12,3.75,0.1,3.35,3.55,54,721,AAPL ,620,Call
19-May-12,3.05,-0.26,3.05,3.25,17,382,AAPL ,625,Call
19-May-12,2.79,0.28,2.74,2.96,153,579,AAPL ,630,Call
19-May-12,3.05,0.08,2.46,2.77,23,403,AAPL ,635,Call
19-May-12,2.4,-0.05,2.14,2.59,229,422,AAPL ,640,Call
19-May-12,2.65,0.33,2.01,2.29,4,397,AAPL ,645,Call
19-May-12,1.95,-0.27,1.86,2.16,39,397,AAPL ,650,Call
19-May-12,1.81,-0.59,1.61,1.96,26,268,AAPL ,655,Call
19-May-12,1.5,-0.4,1.51,1.75,9,187,AAPL ,660,Call
19-May-12,1.99,0.02,1.27,1.85,2,205,AAPL ,665,Call
19-May-12,1.21,-0.41,1.15,1.42,2,194,AAPL ,670,Call
19-May-12,1.23,-0.46,1.05,1.39,169,335,AAPL ,675,Call
19-May-12,1.43,0.13,1.05,1.31,112,430,AAPL ,680,Call
19-May-12,1.14,-0.33,0.97,1.17,199,379,AAPL ,685,Call
19-May-12,1.04,0.02,0.98,1.25,320,747,AAPL ,690,Call
19-May-12,0.95,-0.11,0.8,1.06,441,772,AAPL ,695,Call
19-May-12,0.85,-0.31,0.85,0.93,1926,3887,AAPL ,700,Call
19-May-12,0.8,-0.2,0.76,0.92,296,425,AAPL ,705,Call
19-May-12,0.9,-0.01,0.29,1.07,469,134,AAPL ,710,Call
19-May-12,0.78,0.02,0.64,0.76,735,129,AAPL ,715,Call
19-May-12,0.74,-0.15,0.59,0.84,358,19,AAPL ,720,Call
19-May-12,0.61,-0.21,0.52,0.75,142,119,AAPL ,725,Call
19-May-12,0.66,-0.15,0.5,0.76,267,52,AAPL ,730,Call
19-May-12,0.65,,0.37,0.69,0,59,AAPL ,735,Call
19-May-12,0.55,,0.35,0.63,0,59,AAPL ,740,Call
19-May-12,0.6,-0.1,0.44,0.67,4,20,AAPL ,745,Call
19-May-12,0.5,-0.12,0.45,0.66,40,270,AAPL ,750,Call
19-May-12,0.69,0.19,0.38,0.61,8,18,AAPL ,755,Call
19-May-12,,,0.01,1.33,0,0,AAPL ,760,Call
19-May-12,,,0.01,1.31,0,0,AAPL ,765,Call
19-May-12,0.43,-0.13,0.32,0.5,108,61,AAPL ,770,Call
19-May-12,,,0.01,1.27,0,0,AAPL ,775,Call
19-May-12,,,0.01,1.25,0,0,AAPL ,780,Call
19-May-12,0.08,,,0.3,0,137,AAPL ,215,Put
19-May-12,0.19,,,0.66,0,133,AAPL ,220,Put
19-May-12,0.09,,,0.22,0,108,AAPL ,225,Put
19-May-12,0.09,-,,0.22,54,89,AAPL ,230,Put
19-May-12,,,,0.69,0,0,AAPL ,235,Put
19-May-12,,,,0.71,0,0,AAPL ,240,Put
19-May-12,0.26,,,0.72,0,65,AAPL ,245,Put
19-May-12,,,,0.74,0,0,AAPL ,250,Put
19-May-12,0.31,,,0.56,0,21,AAPL ,255,Put
19-May-12,0.35,,,0.78,0,81,AAPL ,260,Put
19-May-12,0.29,,,0.8,0,41,AAPL ,265,Put
19-May-12,0.4,,,0.56,0,11,AAPL ,270,Put
19-May-12,0.45,,0.01,0.4,0,10,AAPL ,275,Put
19-May-12,0.3,-0.04,0.03,0.3,1,93,AAPL ,280,Put
19-May-12,0.55,,0.01,0.41,0,27,AAPL ,285,Put
19-May-12,0.33,,0.09,0.36,0,180,AAPL ,290,Put
19-May-12,0.12,,0.01,0.47,0,39,AAPL ,295,Put
19-May-12,0.54,,0.2,0.54,0,74,AAPL ,300,Put
19-May-12,0.3,,0.27,0.46,0,34,AAPL ,305,Put
19-May-12,0.25,,0.31,0.51,0,9,AAPL ,310,Put
19-May-12,0.36,,0.36,0.65,0,67,AAPL ,315,Put
19-May-12,0.63,,0.4,0.63,0,152,AAPL ,320,Put
19-May-12,0.65,,0.44,0.66,0,276,AAPL ,325,Put
19-May-12,0.78,,0.53,0.74,0,249,AAPL ,330,Put
19-May-12,0.8,,0.65,0.93,0,300,AAPL ,335,Put
19-May-12,0.89,-0.02,0.72,1.04,13,459,AAPL ,340,Put
19-May-12,1.18,0.14,0.83,1.04,47,341,AAPL ,345,Put
19-May-12,1.09,-0.12,0.98,1.21,45,1277,AAPL ,350,Put
19-May-12,1.31,-,1.18,1.31,15,523,AAPL ,355,Put
19-May-12,1.41,-0.11,1.25,1.49,11,433,AAPL ,360,Put
19-May-12,1.98,,1.44,1.66,0,326,AAPL ,365,Put
19-May-12,1.86,-0.04,1.66,1.89,38,991,AAPL ,370,Put
19-May-12,2.1,-0.02,1.86,2.12,5,1882,AAPL ,375,Put
19-May-12,2.55,0.05,2.19,2.44,10,640,AAPL ,380,Put
19-May-12,2.94,0.24,2.51,2.78,12,502,AAPL ,385,Put
19-May-12,3.05,0.29,2.86,3.1,32,715,AAPL ,390,Put
19-May-12,3.4,-0.15,3.25,3.45,69,855,AAPL ,395,Put
19-May-12,3.72,-0.23,3.7,3.85,150,1830,AAPL ,400,Put
19-May-12,4.15,-0.15,4.15,4.4,47,393,AAPL ,405,Put
