N Sim.,Est.,CI High,Mean,CI Low,CI Width,Var.,Geom. Price,Time,Eff.
1e+02,Crude,36.8093,28.0952,19.3811,17.4282,1976.67000,29.6485,   0.0030,0.00050
1e+03,Crude,33.4532,30.3005,27.1478, 6.3054,2587.41000,29.6485,   0.0351,0.00038
1e+04,Crude,31.4971,30.5624,29.6277, 1.8694,2274.15000,29.6485,   0.2654,0.00043
1e+05,Crude,31.6320,31.3298,31.0276, 0.6044,2377.54000,29.6485,   2.7089,0.00042
1e+06,Crude,31.1667,31.0715,30.9763, 0.1904,2360.10000,29.6485,  26.5557,0.00042
1e+07,Crude,31.1435,31.1134,31.0832, 0.0603,2362.48000,29.6485, 271.6680,0.00042
1e+08,Crude,31.0947,31.0852,31.0757, 0.0190,2360.32000,29.6485,2687.3900,0.00042
1e+02,Anti.,44.9713,37.3294,29.6875,15.2838, 760.08000,29.6485,   0.0019,0.00131
1e+03,Anti.,33.4747,31.1951,28.9155, 4.5592, 676.36700,29.6485,   0.0183,0.00147
1e+04,Anti.,32.3841,31.6500,30.9158, 1.4683, 701.53200,29.6485,   0.1816,0.00142
1e+05,Anti.,31.3778,31.1450,30.9122, 0.4656, 705.46100,29.6485,   1.7370,0.00141
1e+06,Anti.,31.1151,31.0420,30.9689, 0.1462, 696.20700,29.6485,  17.9376,0.00143
1e+07,Anti.,31.1096,31.0865,31.0634, 0.0462, 696.61500,29.6485, 182.1540,0.00143
1e+08,Anti.,31.0951,31.0878,31.0805, 0.0146, 697.22400,29.6485,1769.9300,0.00143
1e+02,Control,31.6252,31.2186,30.8120, 0.8132,   3.87403,29.6485,   0.0029,0.25812
1e+03,Control,31.2731,31.1505,31.0278, 0.2453,   3.52340,29.6485,   0.0311,0.28381
1e+04,Control,31.1027,31.0693,31.0359, 0.0668,   2.61229,29.6485,   0.2934,0.38280
1e+05,Control,31.0894,31.0788,31.0681, 0.0213,   2.65035,29.6485,   3.0404,0.37730
1e+06,Control,31.0817,31.0783,31.0749, 0.0068,   2.64561,29.6485,  29.7082,0.37798
1e+07,Control,31.0789,31.0779,31.0768, 0.0021,   2.61434,29.6485, 306.4690,0.38250
1e+08,Control,31.0787,31.0784,31.0780, 0.0007,   2.61654,29.6485,3016.3400,0.38218
