,J=10,J=15,J=20,J=25,J=30,J=35,J=40,J=45,J=50,J=55,J=60,J=65,J=70,J=75,J=80,J=85,J=90,J=95,J=100,J=105,J=110
N=10,-0.204,0.197,-0.621,-0.528,0.799,2.239,3.172,4.448,5.35,5.775,7.02,7.607,7.708,8.987,9.386,9.25,10.556,10.829,10.666,11.876,12.048
N=20,-0.219,0.223,-0.559,-0.568,-0.278,1.699,3.555,5.107,6.817,8.146,9.556,10.876,11.835,13.163,14.214,14.878,16.183,17.028,17.45,18.761,19.45
N=30,-0.224,0.231,-0.53,-0.605,-0.138,1.962,4.357,6.132,8.351,10.223,11.81,13.624,15.116,16.59,18.102,19.303,20.698,21.982,22.939,24.295,25.39
N=40,-0.226,0.236,-0.524,-0.597,-0.105,1.805,5.657,7.804,10.396,12.655,14.394,16.574,18.454,20.057,21.927,23.508,25.018,26.642,27.981,29.423,30.848
N=50,-0.228,0.238,-0.523,-0.603,-0.099,-0.358,5.752,9.494,12.931,15.549,17.419,19.889,22.071,23.795,25.946,27.829,29.445,31.346,32.984,34.518,36.215
N=60,-0.229,0.239,-0.522,-0.606,-0.088,-0.791,4.302,9.93,14.832,18.565,20.879,23.601,26.028,27.863,30.252,32.377,34.095,36.228,38.109,39.735,41.656
N=70,-0.229,0.24,-0.519,-0.607,-0.081,-0.774,1.417,9.139,15.641,20.668,24.087,27.556,30.337,32.266,34.863,37.2,39.003,41.34,43.43,45.137,47.259
N=80,-0.23,0.241,-0.518,-0.61,-0.079,-0.766,-0.815,7.206,15.447,21.855,26.432,30.912,34.544,36.951,39.775,42.3,44.184,46.696,48.971,50.754,53.049
N=90,-0.23,0.242,-0.518,-0.609,-0.076,-0.766,-0.809,4.167,14.314,22.201,27.994,33.513,38.06,41.284,44.757,47.65,49.635,52.309,54.743,56.598,59.051
N=100,-0.23,0.242,-0.517,-0.612,-0.072,-0.77,-0.806,0.031,12.276,21.754,28.832,35.433,40.92,44.982,49.218,52.783,55.243,58.16,60.749,62.666,65.262
N=110,-0.231,0.243,-0.517,-0.611,-0.071,-0.766,-0.806,-0.275,9.356,20.545,28.984,36.718,43.179,48.1,53.106,57.375,60.477,63.949,66.919,68.96,71.687
N=120,-0.231,0.243,-0.516,-0.612,-0.07,-0.763,-0.808,-0.274,5.558,18.599,28.481,37.403,44.876,50.681,56.475,61.457,65.214,69.295,72.812,75.306,78.298
N=130,-0.231,0.243,-0.516,-0.613,-0.068,-0.762,-0.812,-0.267,0.882,15.928,27.345,37.513,46.039,52.757,59.359,65.069,69.49,74.183,78.272,81.288,84.762
