,J=66,J=68,J=70,J=72,J=74,J=76,J=78,J=80,J=82,J=84,J=86,J=88,J=90,J=92,J=94,J=96,J=98,J=100,J=102,J=104,J=106,J=108,J=110,J=112,J=114,J=116,J=118,J=120
N=10,4.3,4.49,4.27,5.14,5.28,4.98,5.91,6,5.63,6.61,6.66,6.22,7.25,7.27,6.77,7.84,7.84,7.36,8.38,8.36,7.93,8.89,8.85,8.46,9.38,9.31,8.95,9.83
N=15,4.1,4.52,4.62,5.34,5.69,5.72,6.48,6.78,6.72,7.52,7.77,7.64,8.48,8.69,8.5,9.38,9.56,9.29,10.22,10.36,10.04,11,11.1,10.74,11.74,11.82,11.39,12.43
N=20,3.63,4.22,4.56,5.19,5.71,5.97,6.63,7.09,7.27,7.97,8.38,8.49,9.21,9.58,9.62,10.38,10.71,10.69,11.47,11.76,11.69,12.51,12.76,12.62,13.48,13.69,13.51,14.39
N=25,3.13,3.85,4.35,4.94,5.6,6.02,6.63,7.24,7.59,8.22,8.77,9.06,9.71,10.2,10.43,11.11,11.56,11.73,12.43,12.84,12.95,13.68,14.05,14.11,14.86,15.2,15.21,15.99
N=30,2.68,3.52,4.16,4.71,5.48,6.05,6.62,7.33,7.82,8.41,9.07,9.5,10.11,10.72,11.09,11.71,12.27,12.59,13.24,13.75,14.01,14.68,15.16,15.37,16.05,16.49,16.65,17.36
N=35,2.34,3.28,4.02,4.55,5.43,6.1,6.65,7.46,8.06,8.62,9.38,9.92,10.5,11.2,11.69,12.28,12.94,13.37,13.97,14.59,14.97,15.59,16.16,16.49,17.14,17.67,17.95,18.61
N=40,2.11,3.13,3.96,4.49,5.45,6.21,6.74,7.64,8.34,8.88,9.72,10.36,10.92,11.71,12.29,12.86,13.6,14.13,14.71,15.4,15.88,16.48,17.13,17.56,18.17,18.79,19.17,19.8
N=45,2,3.1,4.02,4.53,5.56,6.41,6.93,7.9,8.68,9.21,10.13,10.85,11.39,12.25,12.92,13.47,14.29,14.9,15.46,16.23,16.8,17.37,18.1,18.62,19.2,19.89,20.36,20.96
N=50,2.02,3.19,4.17,4.68,5.78,6.69,7.21,8.24,9.1,9.62,10.6,11.4,11.93,12.86,13.6,14.14,15.02,15.71,16.26,17.09,17.73,18.29,19.09,19.68,20.25,21.01,21.55,22.13
N=55,2.15,3.38,4.43,4.93,6.09,7.07,7.58,8.68,9.6,10.11,11.16,12.02,12.54,13.53,14.34,14.87,15.81,16.57,17.1,18,18.71,19.26,20.11,20.77,21.33,22.14,22.76,23.33
N=60,2.39,3.68,4.79,5.29,6.51,7.55,8.05,9.21,10.19,10.7,11.79,12.72,13.23,14.27,15.14,15.67,16.66,17.48,18.01,18.96,19.73,20.27,21.18,21.9,22.45,23.32,24,24.55
N=65,2.57,4.02,5.24,5.75,7.02,8.11,8.61,9.82,10.85,11.36,12.51,13.49,14,15.1,16.02,16.53,17.59,18.46,18.98,19.99,20.81,21.34,22.3,23.08,23.62,24.54,25.28,25.82
N=70,2.48,4.16,5.58,6.23,7.61,8.77,9.27,10.53,11.61,12.11,13.31,14.34,14.85,15.99,16.97,17.48,18.57,19.5,20.02,21.07,21.94,22.47,23.48,24.31,24.84,25.81,26.6,27.13
N=75,2.12,4.04,5.68,6.55,8.1,9.42,10,11.32,12.45,12.95,14.2,15.27,15.77,16.96,17.98,18.49,19.64,20.61,21.12,22.22,23.14,23.66,24.71,25.59,26.12,27.13,27.97,28.5
N=80,1.5,3.66,5.53,6.61,8.37,9.88,10.63,12.09,13.34,13.86,15.16,16.28,16.77,18.01,19.08,19.58,20.76,21.78,22.29,23.43,24.4,24.91,26.01,26.93,27.45,28.51,29.39,29.91
N=85,0.62,3.04,5.14,6.45,8.42,10.12,11.06,12.7,14.11,14.76,16.16,17.35,17.85,19.13,20.23,20.73,21.96,23.02,23.52,24.7,25.71,26.22,27.36,28.33,28.84,29.94,30.86,31.38
